图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
131,小英雄雨来 （新版本，手绘精美插图）,管桦,2019-04-01,辽宁少年儿童出版社,13.1
132,二十四节气自然绘本 让孩子了解自然的瞬息万变 科普百科绘本,肖克之,2020-08-01,北京联合出版有限公司,67.9
133,真希望我父母读过这本书,菲莉帕・佩里,2020-08-10,中信出版社,31.2
134,我的第一本地理启蒙书,郑利强,2016-06-01,新世界出版社,24.9
135,彩虹色的花,麦克,2018-07-01,二十一世纪出版社,23.0
136,余秋雨 文化苦旅,余秋雨,2014-03-01,长江文艺出版社,19.0
137,十二生肖的故事――首届丰子恺儿童图画书奖得主  赖马作品！,赖马,2020-03-28,河北教育出版社,22.9
138,万历十五年 一本好书 腾讯视频栏目推荐,黄仁宇,2006-06-01,生活.读书.新知三联书店,17.9
139,心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读...,季羡林,2020-08-01,古吴轩出版社,21.8
140,月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+1...,毛姆,2019-06-01,时代文艺出版社,21.2
141,我与地坛（纪念版）,史铁生,2011-06-01,人民文学出版社,20.0
142,蝴蝶・豌豆花,金波,2010-04-01,河北教育出版社,10.1
143,半小时漫画宇宙大爆炸（半小时读完138亿年宇宙史，一口气搞懂大爆...,陈磊・半小时漫画团队,2021-11-08,浙江科学技术出版社,24.5
144,美国儿科学会育儿百科（第7版）,塔尼娅・奥尔特曼,2020-12-01,北京科学技术出版社,81.0
145,罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号...,芥川龙之介,2017-12-01,时代文艺出版社,14.6
146,暖房子・屁屁侦探系列（套装共6册）,Troll,2019-02-01,北京联合出版有限公司,48.0
147,钱穆谈中国历史文化：中国历史精神,钱穆,2019-06-06,贵州人民出版社,12.7
148,地心游记（银火箭少年科幻系列・第2辑，又译《地心历险记》）,儒勒・凡尔纳,2020-04-01,民主与建设出版社,17.2
149,向上生长（九边作品。让选择变得精准，让机遇不再错失。 悉数解决...,九边,2020-05-06,贵州人民出版社,22.5
150,花婆婆――清华附小推荐的经典绘本！美国国家图书奖作品！,芭芭拉库尼,2019-11-11,河北教育出版社,19.9
151,人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人...,宋默,2014-01-01,团结出版社,16.4
152,我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童...,安东尼,2019-10-01,河北教育出版社,60.0
153,哈利・波特与死亡圣器  (平装)（《语文》教材推荐阅读书目，外国...,J.K.罗琳,2018-11-01,人民文学出版社,59.2
155,非暴力沟通（修订版）,马歇尔,2021-09-01,华夏出版社,44.8
156,这就是物理（函套10册）,约瑟夫・米森,2019-07-01,北京理工大学出版社,77.7
157,和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）,关航,2021-10-01,海豚出版社,75.0
158,见识城邦・人类简史：从动物到上帝（新版）,尤瓦尔・赫拉利,2017-01-01,中信出版社,46.9
159,在峡江的转弯处：陈行甲人生笔记,陈行甲,2021-01-26,人民日报出版社,24.0
160,今天我是升旗手（少年中国成长系列）,黄蓓佳,2019-08-01,民主与建设出版社,16.0
161,小金鱼逃走了,五味太郎,2017-04-01,新星出版社,17.5
162,古代人的日常生活（古代的光棍多吗？古人怎么擦屁屁？古人夏天如...,讲历史的王老师,2020-02-10,江苏凤凰文艺出版社,34.9
163,不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本,项华,2021-09-01,北京联合出版有限公司,39.0
164,信谊原创图画书系列-团圆,余丽琼,2008-04-01,明天出版社,27.0
165,一粒种子的旅行,安妮・默勒,2017-06-01,南海出版公司,27.6
166,罪与罚（刑法学罗翔老师推荐版本，用爱和生活去对抗痛苦！）【果...,陀思妥耶夫斯基,2019-02-01,浙江文艺出版社,34.0
167,古代人的日常生活2（典藏版）（古代房价高吗？古人如何抗疫？古人...,讲历史的王老师,2021-08-01,江苏凤凰文艺出版社,37.9
168,男孩百科--优秀男孩的学习妙招,彭凡,2017-01-01,化学工业出版社,13.8
169,高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽...,史蒂芬・柯维,2020-05-30,中国青年出版社,46.6
170,复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本...,列夫・托尔斯泰,2019-10-30,时代文艺出版社,34.3
171,bibi动物园：忍不住想打扰你（当当专享作者签章本，超人气原创治...,bibi,2021-09-01,南海出版公司,35.2
172,科幻世界・三体(一),刘慈欣,2008-01-01,重庆出版社,11.5
173,白色橄榄树（全二册）（ 人气作家玖月��继《少年的你，如此美丽》...,玖月��,2019-04-01,百花洲文艺出版社,45.4
174,鲁迅：故事新编,鲁迅,2015-01-01,天津人民出版社,12.5
175,山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪...,中岛敦,2019-02-01,三秦出版社,22.5
177,月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,毛姆,2017-09-01,时代文艺出版社,12.7
178,大宇宙  和爸妈游太空  给孩子的手绘天文绘本,马劲,2020-03-23,北京联合出版有限公司,67.9
179,沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选...,王小波,2021-01-01,北京十月文艺出版社,29.5
180,中华人民共和国民法典(32开压纹烫金版 附草案说明)2021年1月起正...,法律出版社,2020-06-01,法律出版社,7.5
181,国际大奖小说・升级版--苹果树上的外婆,米拉・洛贝,2011-01-01,新蕾出版社,14.6
182,这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正...,高春香,2019-11-01,海豚出版社,75.0
183,白鹅赶路（手绘精美插图）,彭万洲,2019-01-01,中译出版社（原中国对外翻译出版公司）,12.2
184,终身成长：重新定义成功的思维模式,卡罗尔・德韦克,2017-11-01,江西人民出版社,24.9
185,半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决...,陈磊・半小时漫画团队,2021-07-30,天津科学技术出版社,24.5
186,中国历代政治得失 钱穆（新校本）,钱穆,2013-12-28,九州出版社,9.4
187,如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）,玛兹丽施,2016-09-01,中央编译出版社,18.4
188,心理抚养,李玫瑾,2021-06-01,上海三联书店,21.0
189,阅读是一座随身携带的避难所（罗翔推荐版本。“阅读应该是愉悦的...,毛姆,2020-07-01,江西人民出版社,21.0
190,小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典...,佐佐木洋子,2007-05-16,新世纪出版社,48.0
191,小彗星旅行记 注音版(北京天文馆推荐) 2021年出版,徐刚,2021-02-01,人民邮电出版社,19.5
192,焦虑的人（九个焦虑的人，一场人质劫持，能解救他们的不是警察，...,弗雷德里克・巴克曼,2021-08-01,天津人民出版社,24.9
